name,text
Counterattack Quills,"If this Pokémon is in the Active Spot and is damaged by an attack from your opponent's Pokémon (even if this Pokémon is Knocked Out), put 3 damage counters on the Attacking Pokémon."
Adaptive Evolution,This Pokémon can evolve during your first turn or the turn you play it.
Trap Territory,Your opponent's Active Pokémon's Retreat Cost is Colorless more.
Enriching Oil,"When you play this Pokémon from your hand to evolve 1 of your Pokémon during your turn, you may heal all damage from 1 of your Pokémon."
Fire Off,"As often as you like during your turn, you may move a Fire Energy from 1 of your Benched Pokémon to your Active Pokémon."
Strange Behavior,"As often as you like during your turn, you may move 1 damage counter from 1 of your other Pokémon to this Pokémon."
Energy Carnival,"Once during your turn, you may attach a Basic Energy card from your hand to 1 of your Pokémon."
Electricity Pouches,This Pokémon can't be Paralyzed.
Electrogenesis,"Once during your turn, you may search your deck for a Basic Lightning Energy card and attach it to this Pokémon. Then, shuffle your deck."
Tandem Unit,"Once during your turn, you may search your deck for up to 2 Basic Lightning Pokémon and put them onto your Bench. Then, shuffle your deck."
Psychic Embrace,"As often as you like during your turn, you may attach a Basic Psychic Energy card from your discard pile to 1 of your Psychic Pokémon. If you attached Energy to a Pokémon in this way, put 2 damage counters on that Pokémon. You can't use this Ability on a Pokémon that would be Knocked Out."
Blooming Garden,Your Pokémon in play have no Weakness.
Mischievous Lock,"As long as this Pokémon is in the Active Spot, Basic Pokémon in play (both yours and your opponent's) have no Abilities, except for Mischievous Lock."
Well-Baked Body,This Pokémon can't be Burned. Prevent all damage done to this Pokémon by attacks from your opponent's Fire Pokémon.
Flying Entry,"When you play this Pokémon from your hand onto your Bench during your turn, you may choose 2 of your opponent's Benched Pokémon and put 1 damage counter on each of them."
Exoskeleton,This Pokémon takes 20 less damage from attacks (after applying Weakness and Resistance).
Dino Cry,"Once during your turn, you may attach up to 2 Basic Fighting Energy cards from your discard pile to your Basic Fighting Pokémon in any way you like. If you use this Ability, your turn ends."
Poison Sacs,Your opponent's Poisoned Pokémon don't recover from that Special Condition when they evolve or devolve.
Leadership,Your Basic Pokémon's attacks do 30 more damage to your opponent's Active Pokémon (before applying Weakness and Resistance).
Intimidating Howl,"Once during your turn, you may switch out your opponent's Active Pokémon to the Bench. (Your opponent chooses the new Active Pokémon.)"
Rumbling Engine,"You must discard an Energy card from your hand in order to use this Ability. Once during your turn, you may draw cards until you have 6 cards in your hand."
Busybody Nurse,"Once during your turn, you may use this Ability. Your Active Pokémon recovers from all Special Conditions."
Nest Stash,"Once during your turn, you may shuffle your hand and put it on the bottom of your deck. If you put any cards on the bottom of your deck in this way, draw a card."
